rank_u	literal	freq
996	一方面	9610
997	一道	9610
998	你識	9610
999	凌嘯峰	9610
1000	地講	9610
1001	就連	9610
1002	心中	9610
1003	我識	9610
1004	聖誕老人	9610
1005	親人	9610
1006	透明	9610
1007	遲啲	9610
1008	大部分	9555
1009	一入	9521
1010	扑嘢	9521
1011	打到	9521
1012	擁	9521
1013	泳衣	9521
1014	無用	9521
1015	燕	9521
1016	王源	9521
1017	隱約	9521
1018	鳳	9521
1019	重慶	9481
1020	不懂	9451
1021	唧	9432
1022	地個	9432
1023	家長	9432
1024	小弟	9432
1025	會考	9432
1026	洗手間	9432
1027	琪	9432
1028	肥仔	9432
1029	你要	9378
1030	基	9343
1031	小燁	9343
1032	就嚟	9343
1033	精	9343
1034	魂	9343
1035	鍼	9332
1036	走了	9292
1037	纔是	9278
1038	嘟	9254
1039	地會	9254
1040	小明	9254
1041	招呼	9254
1042	歐子	9254
1043	縮	9254
1044	羹	9254
1045	背影	9254
1046	人工	9165
1047	內疚	9165
1048	初戀	9165
1049	好嘢	9165
1050	幾點	9165
1051	時話	9165
1052	珍惜	9165
1053	現場	9165
1054	發夢	9165
1055	經常	9165
1056	莊	9165
1057	電芯	9165
1058	就能	9154
1059	群衆	9122
1060	不知	9076
1061	呢排	9076
1062	咔	9076
1063	嗰種	9076
1064	天地	9076
1065	彭	9076
1066	憑	9076
1067	搞笑	9076
1068	撫摸	9076
1069	淋	9076
1070	這時	9076
1071	投資者	9071
1072	倒是	9034
1073	唔切	8987
1074	容	8987
1075	擰頭	8987
1076	時光	8987
1077	晞	8987
1078	最大	8987
1079	白波	8987
1080	這麼	8987
1081	嘻嘻	8955
1082	好吧	8946
1083	一排	8898
1084	一講	8898
1085	二哥	8898
1086	人間	8898
1087	仔女	8898
1088	你問	8898
1089	出事	8898
1090	唔捨得	8898
1091	地盤	8898
1092	就問	8898
1093	成身	8898
1094	查	8898
1095	老嘢	8898
1096	衰仔	8898
1097	講出	8898
1098	雷米	8898
1099	你說	8864
1100	有時候	8840
1101	吋	8809
1102	月光	8809
1103	校車	8809
1104	然而	8809
1105	紅鈴	8809
1106	良生	8809
1107	講咗	8809
1108	過後	8809
1109	風車	8809
1110	齊	8809
1111	讓他	8800
1112	也沒	8797
1113	好看	8784
1114	交代	8720
1115	冇所謂	8720
1116	圍	8720
1117	大隻	8720
1118	就響	8720
1119	快速	8720
1120	探	8720
1121	無法	8720
1122	變返	8720
1123	站在	8673
1124	武漢	8636
1125	衆人	8635
1126	並無	8631
1127	企咗	8631
1128	傳說	8631
1129	出到	8631
1130	加油	8631
1131	尋晚	8631
1132	抵	8631
1133	樣嘢	8631
1134	樹葉	8631
1135	甚麼	8631
1136	直情	8631
1137	笪	8631
1138	走到	8631
1139	雪菲兒	8631
1140	我說	8621
1141	個妹	8542
1142	地行	8542
1143	廳	8542
1144	紫色	8542
1145	總有	8542
1146	邪	8542
1147	編輯	8463
1148	偈	8453
1149	我間	8453
1150	戲院	8453
1151	打個	8453
1152	男性	8453
1153	部落	8453
1154	間房	8453
1155	鳳初	8453
1156	黏	8453
1157	鼻涕	8453
1158	給他	8389
1159	忘了	8373
1160	就不	8372
1161	之餘	8364
1162	堅	8364
1163	天光	8364
1164	心意	8364
1165	我訓	8364
1166	退後	8364
1167	那麼	8364
1168	靚妹	8364
1169	鞋仔	8364
1170	衆多	8344
1171	出了	8342
1172	你就	8321
1173	就有	8320
1174	嘢都	8275
1175	威廉	8275
1176	戇	8275
1177	摷	8275
1178	正面	8275
1179	苦笑	8275
1180	蘭	8275
1181	在家	8244
1182	天津	8198
1183	以嚟	8186
1184	余	8186
1185	停低	8186
1186	几	8186
1187	哄	8186
1188	噏	8186
1189	埋個	8186
1190	大堂	8186
1191	天真	8186
1192	威	8186
1193	對波	8186
1194	巨大	8186
1195	師奶	8186
1196	我部	8186
1197	扮汗	8186
1198	本人	8186
1199	粗	8186
1200	街街	8186
1201	體力	8186
1202	幹嗎	8177
1203	坐在	8174
1204	嗲	8097
1205	嘴角	8097
