rank	head	essay_frequency	batch_index
1028	油	18509	3
1029	當初	18509	3
1030	考試	18509	3
1031	蛋	18509	3
1032	要是	18453	3
1033	塞	18420	3
1034	未必	18420	3
1035	各位	18331	3
1036	戰鬥	18331	3
1037	早晨	18331	3
1038	當日	18331	3
1039	高潮	18331	3
1040	房子	18320	3
1041	女性	18242	3
1042	辮	18242	3
1043	願意	18242	3
1044	叉	18153	3
1045	較	18153	3
1046	泳池	18064	3
1047	牛奶	18064	3
1048	秦	18064	3
1049	姊妹	17975	3
1050	老鼠	17975	3
1051	化	17886	3
1052	圈	17886	3
1053	打電話	17886	3
1054	暫時	17886	3
1055	炒	17886	3
1056	羅	17886	3
1057	藥	17886	3
1058	接觸	17797	3
1059	部分	17797	3
1060	嘆	17708	3
1061	嘿	17708	3
1062	將來	17708	3
1063	可憐	17619	3
1064	撲	17619	3
1065	簡直	17619	3
1066	號	17619	3
1067	提	17530	3
1068	聖誕	17530	3
1069	若果	17530	3
1070	阻	17530	3
1071	未來	17441	3
1072	枕頭	17441	3
1073	空間	17441	3
1074	衝	17441	3
1075	首領	17441	3
1076	大門	17352	3
1077	心裏	17286	3
1078	出手	17263	3
1079	團	17263	3
1080	客人	17263	3
1081	放過	17263	3
1082	格	17263	3
1083	理解	17263	3
1084	隔	17263	3
1085	咖啡	17174	3
1086	地面	17174	3
1087	斬	17174	3
1088	禮拜	17174	3
1089	電影	17174	3
1090	含	17085	3
1091	情侶	17085	3
1092	目的	17085	3
1093	顯得	17085	3
1094	老闆	17036	3
1095	後來	16996	3
1096	抄	16996	3
1097	版	16996	3
1098	誤會	16996	3
1099	傑	16907	3
1100	嬸	16907	3
1101	推開	16907	3
1102	整個	16907	3
1103	小丑	16818	3
1104	步	16818	3
1105	同事	16729	3
1106	新聞	16729	3
1107	畢業	16729	3
1108	不安	16640	3
1109	當中	16640	3
1110	蓋	16640	3
1111	靜靜	16640	3
1112	封	16551	3
1113	自信	16551	3
1114	顏色	16551	3
1115	如此	16462	3
1116	擁有	16462	3
1117	日日	16462	3
1118	信心	16373	3
1119	握	16373	3
1120	救命	16373	3
1121	水晶	16373	3
1122	煩	16373	3
1123	示意	16373	3
1124	騎	16373	3
1125	多次	16284	3
1126	對手	16284	3
1127	式	16284	3
1128	海	16284	3
1129	老實	16284	3
1130	肯	16284	3
1131	見面	16284	3
1132	這樣	16284	3
1133	隨時	16284	3
1134	魔王	16284	3
1135	怎麼樣	16225	3
1136	出門	16195	3
1137	刻	16195	3
1138	心口	16195	3
1139	掙扎	16195	3
1140	包括	16106	3
1141	印	16106	3
1142	噢	16106	3
1143	夢想	16106	3
1144	懶	16106	3
1145	考慮	16106	3
1146	聽講	16106	3
1147	上前	16017	3
1148	劉	16017	3
1149	好人	16017	3
1150	左面	16017	3
1151	有關	16017	3
1152	漸漸	16017	3
1153	開門	16017	3
1154	主角	15928	3
1155	反抗	15928	3
1156	將軍	15928	3
1157	棒	15928	3
1158	覆	15928	3
1159	餐	15928	3
1160	交叉	15839	3
1161	房間	15839	3
1162	耳	15839	3
1163	中文	15750	3
1164	冷氣	15750	3
1165	受到	15750	3
1166	只見	15750	3
1167	司機	15750	3
1168	當年	15750	3
1169	胸	15750	3
1170	腳步	15750	3
1171	蝦	15750	3
1172	輪	15661	3
1173	而已	15633	3
1174	好在	15572	3
1175	形容	15572	3
1176	過程	15572	3
1177	好多	15545	3
1178	下來	15483	3
1179	值得	15483	3
1180	湖	15483	3
1181	發展	15483	3
1182	範圍	15483	3
1183	身份	15483	3
1184	毛	15394	3
1185	發佈	15363	3
1186	星星	15305	3
1187	結	15305	3
1188	經驗	15305	3
1189	誰	15305	3
1190	雪	15305	3
1191	臺灣	15274	3
1192	一面	15216	3
1193	戀	15216	3
1194	死人	15216	3
1195	沉默	15216	3
1196	疑惑	15216	3
1197	關於	15216	3
1198	壓力	15127	3
1199	意外	15127	3
1200	技能	15038	3
1201	程度	15038	3
1202	資料	15038	3
1203	一起	14949	3
1204	勇氣	14949	3
1205	微	14949	3
1206	效果	14949	3
1207	表示	14949	3
1208	訓練	14949	3
1209	避開	14949	3
1210	黎明	14949	3
1211	主要	14860	3
1212	凡	14860	3
1213	招	14860	3
1214	生物	14860	3
1215	科技	14860	3
1216	認	14860	3
1217	身材	14860	3
1218	們	14771	3
1219	正式	14771	3
1220	馬戲	14771	3
1221	平臺	14708	3
1222	圖	14682	3
1223	森林	14682	3
1224	女生	14593	3
1225	少年	14593	3
1226	要好	14593	3
1227	護士	14593	3
1228	釣	14593	3
1229	白癡	14531	3
1230	上身	14504	3
1231	大人	14504	3
1232	樂	14504	3
1233	綠	14504	3
1234	餐廳	14504	3
1235	堆	14415	3
1236	腿	14415	3
1237	順便	14415	3
1238	初	14326	3
1239	印象	14326	3
1240	只好	14326	3
1241	回頭	14326	3
1242	捐	14326	3
1243	擘	14326	3
1244	改	14326	3
1245	滑	14326	3
1246	超	14326	3
1247	不可	14237	3
1248	不禁	14237	3
1249	之際	14237	3
1250	圖書館	14237	3
1251	多數	14237	3
1252	好笑	14237	3
1253	而是	14231	3
1254	例如	14148	3
1255	右面	14148	3
1256	太太	14148	3
1257	廟	14148	3
1258	扭	14148	3
1259	找	14148	3
1260	捉住	14148	3
1261	界	14148	3
1262	畢竟	14148	3
1263	籃球	14148	3
1264	葡萄	14148	3
1265	雪櫃	14148	3
1266	偷	14059	3
1267	搖	14059	3
1268	來自	13976	3
1269	地球	13970	3
1270	座	13970	3
1271	強姦	13970	3
1272	石頭	13970	3
1273	養	13970	3
1274	馬路	13970	3
1275	擋	13881	3
1276	放開	13881	3
1277	粥	13881	3
1278	總	13881	3
1279	何況	13792	3
1280	啜	13792	3
