rank	head	essay_frequency	syn_tails	syn_neighbors
498	一腳踢	3559	1	全能
499	傻豬	3559	1	傻瓜
500	冇心	3559	1	無心
501	士多	3559	1	商店
502	好勁	3559	1	厲害
503	娘親	3559	1	母親
504	探員	3559	1	偵探
505	眼白白	3559	1	乾瞪眼
506	等如	3559	1	等於
507	背住	3559	1	揹着
508	輔導	3559	1	指導
509	追上	3559	1	趕上
510	雞翼	3559	1	翅膀
511	得很	3529	1	非常
512	咁滯	3470	1	幾乎
513	好地地	3470	1	好好地
514	小食	3470	1	零食
515	愈嚟愈	3470	1	越來越
516	日出	3470	1	黎明
517	日落	3470	1	黃昏
518	甜筒	3470	1	雪糕
519	結他	3470	1	吉他
520	翻到	3470	1	翻去
521	識講	3470	1	識講嘢
522	豬扒	3470	1	豬排
523	跪低	3470	1	跪下
524	銀仔	3470	1	硬幣
525	七七八八	3381	1	差不多
526	人仔	3381	1	人民幣
527	初頭	3381	1	起初
528	勤力	3381	1	勤奮
529	嗰度	3381	1	那裏
530	急不及待	3381	1	迫不及待
531	手指公	3381	1	拇指
532	極之	3381	1	極其
533	狗公	3381	1	公犬
534	花名	3381	1	綽號
535	落力	3381	1	盡力
536	薯仔	3381	1	馬鈴薯
537	變做	3381	1	變成
538	邊間	3381	1	邊度
539	風水	3381	1	堪輿
540	髮型	3381	1	頭型
541	炒作	3377	1	哄抬
542	最愛	3363	1	至愛
543	研究所	3347	1	研究院
544	做得	3343	1	可以
545	其他人	3336	1	別人
546	一嚟	3292	1	一來
547	侍應	3292	1	侍應生
548	勾起	3292	1	引起
549	唔覺意	3292	1	無意中
550	好靜	3292	1	安靜
551	晨早	3292	1	早上
552	有型	3292	1	時髦
553	水族館	3292	1	海洋館
554	泥膠	3292	1	黏土
555	的而且確	3292	1	的確
556	聽聞	3292	1	聽過
557	茶餐廳	3292	1	茶室
558	薯片	3292	1	脆片
