rank	head	essay_frequency	syn_tails
784	國債	1651	4
785	專業化	1651	67
786	儘早	1650	16
787	洽談	1650	47
788	聆聽	1650	5
789	路段	1650	3
790	替補	1647	4
791	充電器	1645	82
792	負載	1642	3
793	汕頭	1639	115
794	上個月	1638	2
795	完蛋	1638	55
796	寄託	1638	8
797	頒佈	1637	12
798	隨筆	1635	1
799	博覽會	1634	42
800	中小學	1633	17
801	方便麪	1630	10
802	商貿	1629	6
803	杜絕	1627	13
804	機體	1627	1
805	華盛頓	1626	127
806	彩電	1622	7
807	航線	1622	3
808	合金	1617	7
809	貪官	1617	3
810	開採	1614	4
811	博弈	1613	5
812	繪製	1611	3
813	回升	1610	17
814	器件	1609	3
815	常務	1609	17
816	無不	1609	5
817	光學	1608	82
818	差價	1608	55
819	幹掉	1608	7
820	蒼蠅	1608	1
821	噪聲	1605	1
822	水稻	1604	6
823	年年	1602	2
824	一連串	1601	33
825	下顎	1601	2
826	不成	1601	27
827	事到如今	1601	1
828	信仰	1601	11
829	側身	1601	5
830	偷走	1601	13
831	傷風	1601	4
832	兩者	1601	10
833	冰山	1601	5
834	勇者	1601	5
835	卡通	1601	4
836	器材	1601	6
837	回程	1601	2
838	大路	1601	7
839	完人	1601	17
840	定義	1601	2
841	就讀	1601	1
842	局面	1601	20
843	手巾	1601	6
844	扮演	1601	9
845	擂台	1601	17
846	擔任	1601	10
847	教徒	1601	2
848	斧頭	1601	2
849	日期	1601	1
850	樹幹	1601	3
851	樹枝	1601	5
852	歌曲	1601	2
853	水泡	1601	1
854	沉船	1601	4
855	法文	1601	7
856	渴求	1601	4
857	激光	1601	22
858	激情	1601	1
859	熱辣辣	1601	19
860	燒賣	1601	10
861	玩笑	1601	3
862	環節	1601	1
863	畫家	1601	1
864	疑似	1601	1
865	疼痛	1601	6
866	發問	1601	11
867	白費	1601	1
868	盔甲	1601	7
869	相片	1601	5
870	符號	1601	6
871	等候	1601	11
872	糾纏	1601	15
873	純情	1601	11
874	翻轉	1601	12
875	自稱	1601	2
876	色情	1601	13
877	茶花	1601	1
878	落下	1601	7
879	融入	1601	2
880	蠟筆	1601	22
881	行禮	1601	4
882	衝力	1601	6
883	記載	1601	2
884	調頭	1601	2
885	變臉	1601	3
886	跨過	1601	5
887	躲避	1601	16
888	軸承	1601	5
889	送禮	1601	1
890	逐一	1601	18
891	過火	1601	6
892	釣魚	1601	2
893	銀色	1601	1
894	難題	1601	9
895	面臨	1601	24
896	頭盔	1601	7
897	高舉	1601	3
898	鯊魚	1601	2
899	鯨魚	1601	1
900	鼻血	1601	1
901	炎症	1600	2
902	電容	1600	1
903	莫斯科	1596	127
904	電廠	1596	18
905	下崗	1595	5
906	南非	1595	13
907	來信	1594	7
908	反過來	1594	13
909	發揚	1594	5
910	大臣	1593	7
911	貨運	1592	16
912	土耳其	1591	156
913	本子	1591	13
914	滯後	1591	10
915	唐山	1590	115
916	視圖	1590	19
917	退款	1588	1
918	客車	1587	9
919	華南	1587	9
920	在校	1585	2
921	創始人	1582	6
922	鬼子	1582	2
923	浪潮	1578	3
924	武警	1577	2
925	主題曲	1576	15
926	職稱	1575	6
927	被告人	1575	2
928	不見得	1574	4
929	聯網	1573	21
930	增長率	1572	45
931	板子	1572	5
932	神經病	1572	3
933	中學生	1571	10
934	非得	1571	12
935	師範	1565	3
936	巨星	1563	12
937	前沿	1562	5
938	亮度	1561	41
939	延期	1561	11
940	耕地	1561	14
941	建國	1560	2
942	封殺	1556	12
943	鴿子	1556	1
944	信託	1553	6
945	矩陣	1552	4
946	置業	1552	4
947	趨於	1552	2
948	難點	1552	6
949	出遊	1551	13
950	酸奶	1551	6
951	信訪	1549	8
952	多方面	1549	6
953	多重	1549	33
954	皇冠	1549	1
955	僅供參考	1547	1
956	歸屬	1547	9
957	麪條	1547	1
958	停機	1546	17
959	審理	1545	3
960	英鎊	1544	34
961	交納	1540	8
962	經貿	1540	10
963	姥姥	1539	13
964	克隆	1538	2
