rank	head	essay_frequency	batch_index	direct_syn_tails
633	乜鬼	6763	4	0
634	仲話	6763	4	0
635	打嚟	6763	4	0
636	搞錯	6763	4	0
637	教畜	6763	4	0
638	有份	6763	4	0
639	餸	6763	4	0
640	半身	6674	4	0
641	死仔	6674	4	0
642	銅	6674	4	1
643	餅乾	6674	4	0
644	成世	6585	4	0
645	第二次	6585	4	0
646	食得	6585	4	0
647	鬍	6585	4	0
648	當堂	6496	4	0
649	鐵閘	6496	4	0
650	工作人員	6440	4	0
651	空調	6435	4	0
652	呢邊	6407	4	0
653	嚇親	6407	4	0
654	性奴	6407	4	0
655	想問	6407	4	0
656	第二朝	6407	4	0
657	看起來	6351	4	1
658	下集	6318	4	0
659	地標	6318	4	1
660	失落	6318	4	0
661	好易	6318	4	0
662	尋日	6318	4	0
663	卻是	6256	4	0
664	大件事	6229	4	0
665	如是	6229	4	0
666	山窿	6229	4	0
667	黐線	6229	4	0
668	點講	6229	4	0
669	個鐘	6140	4	0
670	嗰日	6140	4	0
671	外套	6140	4	1
672	小巴	6140	4	0
673	急急腳	6140	4	0
674	眼角	6140	4	1
675	淘寶	6135	4	0
676	授權	6052	4	0
677	世伯	6051	4	0
678	人話	6051	4	0
679	侯	6051	4	1
680	女友	6051	4	1
681	她們	6051	4	1
682	收皮	6051	4	0
683	玩家	6051	4	0
684	脾	6051	4	1
685	重覆	6051	4	0
686	函數	5992	4	1
687	成員	5962	4	1
688	眼色	5962	4	1
689	硬係	5962	4	0
690	電子	5962	4	1
691	食煙	5962	4	0
692	發票	5937	4	0
693	挺好	5911	4	0
694	一來	5873	4	0
695	不敢	5873	4	0
696	危機	5873	4	1
697	拜託	5873	4	1
698	有排	5873	4	0
699	老土	5873	4	0
700	膠袋	5873	4	0
701	蕃	5873	4	0
702	身高	5873	4	0
703	陽具	5873	4	0
704	頂唔順	5873	4	0
705	主板	5861	4	0
706	多少錢	5852	4	0
707	顯卡	5819	4	0
708	側邊	5784	4	0
709	六點	5784	4	0
710	升降機	5784	4	1
711	子彈	5784	4	1
712	幾大	5784	4	0
713	這些	5784	4	1
714	一句話	5761	4	0
715	敏	5695	4	0
716	神經	5695	4	0
717	茄	5695	4	0
718	褲袋	5695	4	0
719	一於	5606	4	0
720	乜事	5606	4	0
721	唔只	5606	4	0
722	廿	5606	4	1
723	打交	5606	4	0
724	挑戰	5606	4	1
725	缸	5606	4	0
726	芝士	5606	4	0
727	記者	5606	4	0
728	錯愕	5606	4	0
729	首頁	5556	4	0
730	九點	5517	4	0
731	噠	5517	4	0
732	回家	5517	4	1
733	想要	5517	4	0
734	成晚	5517	4	0
735	捲	5517	4	0
736	骨頭	5517	4	1
737	職工	5483	4	1
738	一會	5428	4	0
739	全場	5428	4	0
740	八點	5428	4	0
741	太好	5428	4	0
742	正話	5428	4	0
743	留言	5428	4	0
744	睇醫生	5428	4	0
745	踢波	5428	4	0
746	阿公	5428	4	0
747	大鑊	5339	4	0
748	天花板	5339	4	1
749	廢事	5339	4	0
750	日記	5339	4	0
751	聽朝	5339	4	0
752	開聲	5339	4	0
753	朵	5250	4	1
754	無辜	5250	4	0
755	識得	5250	4	0
756	車轆	5250	4	0
757	版主	5219	4	0
758	手裏	5185	4	0
759	鼠標	5168	4	0
760	三點	5161	4	0
761	中指	5161	4	0
762	入邊	5161	4	0
763	冇計	5161	4	0
764	嘔心	5161	4	0
765	嘥	5161	4	0
766	外賣	5161	4	0
767	大笨象	5161	4	0
768	宿舍	5161	4	1
769	打波	5161	4	0
770	波鞋	5161	4	0
771	突破	5161	4	0
772	讀者	5161	4	1
773	返來	5161	4	0
774	運營	5161	4	1
775	面向	5161	4	1
776	上市公司	5084	4	0
777	咁鬼	5072	4	0
778	員工	5072	4	1
779	單嘢	5072	4	0
780	孫仔	5072	4	0
781	睇法	5072	4	0
782	窒	5072	4	0
783	行開	5072	4	0
784	親手	5072	4	1
785	醜怪	5072	4	0
786	鍚	5072	4	0
787	鏈	5072	4	1
788	離遠	5072	4	0
789	七點	4983	4	0
790	五點	4983	4	0
791	多位	4983	4	0
792	夜貓	4983	4	0
793	幾步	4983	4	0
794	溝女	4983	4	0
795	物體	4983	4	1
796	出便	4894	4	0
797	劇情	4894	4	0
798	四點	4894	4	0
799	地板	4894	4	1
800	室內	4894	4	0
801	差佬	4894	5	0
802	巴膠	4894	5	0
803	情人節	4894	5	0
804	晚晚	4894	5	0
805	櫃桶	4894	5	0
806	每晚	4894	5	1
807	深處	4894	5	1
808	理智	4894	5	0
809	秩序	4894	5	0
810	臭狐	4894	5	0
811	講聲	4894	5	0
812	起嚟	4894	5	0
813	適應	4894	5	1
814	重啓	4843	5	0
815	不出	4805	5	0
816	分分鐘	4805	5	0
817	初初	4805	5	0
818	加埋	4805	5	0
819	啡	4805	5	0
820	射出	4805	5	0
821	得滯	4805	5	0
822	手套	4805	5	0
823	手指尾	4805	5	0
824	摑	4805	5	0
825	收線	4805	5	0
826	柒頭	4805	5	0
827	睇見	4805	5	0
828	落堂	4805	5	0
829	跑車	4805	5	1
830	迴	4805	5	0
831	一天	4716	5	0
832	右上	4716	5	0
833	嗰晚	4716	5	0
834	放榜	4716	5	0
835	樣衰	4716	5	0
836	沿途	4716	5	1
837	細粒	4716	5	0
838	膠布	4716	5	1
839	車仔	4716	5	0
840	偷食	4627	5	0
841	兩點	4627	5	1
842	嬴	4627	5	0
843	專登	4627	5	0
844	恤衫	4627	5	0
845	樣貌	4627	5	0
846	直行	4627	5	0
847	螢幕	4627	5	0
848	貨倉	4627	5	0
849	郵局	4627	5	1
850	雞雞	4627	5	0
851	接下來	4623	5	1
852	另一	4551	5	0
853	今時今日	4538	5	0
854	包住	4538	5	0
855	吸塵機	4538	5	0
856	捨	4538	5	0
857	擺明	4538	5	0
858	筷子	4538	5	1
859	絲襪	4538	5	0
860	聲線	4538	5	0
861	舖頭	4538	5	0
862	那些	4538	5	1
863	點呢	4538	5	0
864	一般人	4449	5	0
865	叫停	4449	5	0
866	巴士站	4449	5	0
867	得人驚	4449	5	0
868	打人	4449	5	0
869	攬實	4449	5	0
870	有嘢	4449	5	0
871	死者	4449	5	1
872	牛油	4449	5	0
873	神父	4449	5	1
874	聽晚	4449	5	0
875	蕉	4449	5	1
876	話唔定	4449	5	0
877	身旁	4449	5	1
878	隨心	4449	5	0
879	低聲	4360	5	0
880	多得	4360	5	0
881	夾住	4360	5	0
882	好多人	4360	5	0
883	新抱	4360	5	0
884	早知	4360	5	0
885	權利	4360	5	1
886	眼甘甘	4360	5	0
887	質素	4360	5	0
888	關我事	4360	5	0
889	發貨	4346	5	0
