phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	中規中矩	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	亞美尼亞	n	idiom		cow-single;p2-idiom:AxxA;p2-idiom-heuristic	low	low|low|idiom					
p0	匆匆離去	v	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	喃喃自語	v	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	小偷小摸	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	強買強賣	v	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	彈道導彈	n	idiom		cow-single;p2-idiom:AxxA;p2-idiom-heuristic	low	low|low|idiom					
p0	彬彬有禮	n	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	怪模怪樣	a	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	或多或少	r	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	搖搖欲墜	v	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	核糖核酸	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	無影無蹤	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	無拘無束	v	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	無法無天	n	idiom		cow-single;p2-idiom:ABAC;p2-idiom-heuristic	low	low|low|idiom					
p0	空空導彈	n	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	閃閃發光	v	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	默默無聞	n	idiom		cow-single;p2-idiom:AABC;p2-idiom-heuristic	low	low|low|idiom					
p0	一瞬間	n			cow-single	low	low|low|plain					
p0	不在場	n			cow-single	low	low|low|plain					
p0	不辭而別	v			cow-single	low	low|low|plain					
p0	中世紀	n			cow-single	low	low|low|plain					
p0	二氧化碳	n			cow-single	low	low|low|plain					
p0	亞硝酸鈉	n			cow-single	low	low|low|plain					
p0	交通	n			cow-single	low	low|low|plain					
p0	介意	v			cow-single	low	low|low|plain					
p0	似乎	v			cow-single	low	low|low|plain					
p0	保護關税	n			cow-single	low	low|low|plain					
p0	保障	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	保齡球	n			cow-single	low	low|low|plain					
p0	信譽	n			cow-single	low	low|low|plain					
p0	做法	n			cow-single	low	low|low|plain					
p0	傳染	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	傳真	n			cow-single	low	low|low|plain					
p0	傷	v			cow-single	low	low|low|plain					
p0	傷風	n			cow-single	low	low|low|plain					
p0	內褲	n			cow-single	low	low|low|plain					
p0	共有	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	出去	v			cow-single	low	low|low|plain					
p0	前夕	n			cow-single	low	low|low|plain					
p0	剩下	v			cow-single	low	low|low|plain					
p0	加重	n			cow-single	low	low|low|plain					
p0	匯款	n			cow-single	low	low|low|plain					
p0	博覽會	n			cow-single	low	low|low|plain					
p0	占卜	v			cow-single	low	low|low|plain					
p0	原因	n			cow-single	low	low|low|plain					
p0	原諒	v			cow-single	low	low|low|plain					
p0	反詰	v			cow-single	low	low|low|plain					
p0	取代	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	只有	r			cow-single	low	low|low|plain					
p0	合成代謝	n			cow-single	low	low|low|plain					
p0	告密	v			cow-single	low	low|low|plain					
p0	哭	v			cow-single	low	low|low|plain					
p0	單詞	n			cow-single	low	low|low|plain					
p0	噪聲污染	n			cow-single	low	low|low|plain					
p0	圍繞	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	坐下	v			cow-single	low	low|low|plain					
p0	塞	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	大好	v			verb-suffix;heuristic;verb-suffix-suspect;trust-low	low	low|low|plain					
p0	天性	n			cow-single	low	low|low|plain					
p0	太空	n			cow-single	low	low|low|plain					
