literal	answer	pos	family	source	evidence
城樓跑馬	一味兜圈	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
塘底凸	水盡先見	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
墳場發電機	電死人	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
壽星公吊頸	嫌命長	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
大姑娘做媒	講人唔講自己	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
大石砸死蟹	冇聲出	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
大笪地賣粥	整定	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
大肚婆行鋼線	挺而走險	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
大良阿斗官	二世祖	n	xiehouyu	cantonese-md:idioms	answer-nominal;explanation-reviewed
大花筒	亂咁散	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
大花臉抹眼淚	離行離列	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
大轆藕抬色	應有盡有	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
天堂尿壺	全神貫注	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
太公分豬肉	人人有份	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
太監讀神學	冇撚得救	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
太監騎馬	冇撚得頂	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
奶媽湊仔	人家嘅	n	xiehouyu	cantonese-md:idioms	answer-nominal;explanation-reviewed
姜太公釣魚	願者上釣	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
密底算盤	冇漏罅	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
寡母婆死仔	冇指望	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
屎坑三姑	易請難送	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
屎坑公賣草紙	問心	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
屎坑石頭	又臭又硬	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
屎坑關刀	文又唔得武又唔得	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
屎忽窿生瘡	冇眼睇	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
屙尿入盅	執正嚟做	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
